Account #	Customer Balance	Pers Prop Pin #
3261	          $0.00	2018-766
3292	          $8.93	2018-1679
3309	         $28.28	2018-435
3312	         $32.68	2018-1798
3312	         $32.68	2018-1662
3328	         $44.72	2018-1163
3343	         $36.15	2018-2280
3343	         $36.15	2018-1905
3343	         $36.15	2018-470
3362	         $71.51	2018-1229
3362	         $71.51	2018-128
3364	          $0.00	2018-1793
3382	         $54.25	2018-2614
3382	         $54.25	2018-1258
3382	         $54.25	2018-637
3384	          $0.00	2018-167
3386	        $122.63	2018-554
3389	          $0.00	2018-446
3397	         $43.79	2018-2577
3397	         $43.79	2018-2486
3397	         $43.79	2018-2407
3397	         $43.79	2018-268
3415	         $27.36	2018-456
3428	          $0.00	2018-2583
3428	          $0.00	2018-2225
3428	          $0.00	2018-1107
3428	          $0.00	2018-594
3445	         $58.13	2018-2651
3445	         $58.13	2018-109
3447	          $0.00	2018-1653
3463	          $3.50	2018-2269
3470	         $15.12	2018-2290
3478	          $0.00	2018-568
3478	          $0.00	2018-140
3481	         $53.73	2018-1103
3481	         $53.73	2018-318
3485	          $0.00	2018-789
3485	          $0.00	2018-621
3487	          $0.00	2018-965
3488	          $0.00	2018-2087
3488	          $0.00	2018-287
3516	          $0.00	2018-1522
3517	         $38.28	2018-869
3517	         $38.28	2018-341
3530	         $13.72	2018-1856
3530	         $13.72	2018-1813
3532	          $0.00	2018-2455
3532	          $0.00	2018-618
3533	         $62.63	2018-2469
3533	         $62.63	2018-2303
3533	         $62.63	2018-562
3535	         $66.10	2018-1815
3535	         $66.10	2018-692
3535	         $66.10	2018-354
3537	         $76.88	2018-2580
3537	         $76.88	2018-1930
3537	         $76.88	2018-415
3537	         $76.88	2018-355
3560	          $8.78	2018-1690
3561	          $0.00	2018-1271
3562	          $7.24	2018-1872
3563	          $6.55	2018-1874
3564	         $37.27	2018-317
3573	          $0.00	2018-2370
4062	         $-1.98	2018-1548
4062	         $-1.98	2018-1099
4065	          $0.00	2018-550
4076	          $0.00	2018-19
4078	          $0.00	2018-660
4088	        $130.97	2018-952
4107	         $24.21	2018-2310
4107	         $24.21	2018-768
4116	          $6.47	2018-1962
4123	          $0.00	2018-2472
4129	         $17.44	2018-837
4143	          $0.00	2018-2646
4150	        $443.94	2018-299
4151	        $925.58	2018-2247
4151	        $925.58	2018-1017
4170	          $9.91	2018-1458
4172	          $0.00	2018-1979
4176	          $0.00	2018-857
4176	          $0.00	2018-587
4186	        $107.60	2018-845
4220	         $65.75	2018-2634
4220	         $65.75	2018-2621
4222	      $3,526.08	2018-2178
4225	         $69.19	2018-1909
4232	          $7.61	2018-1820
4255	         $29.04	2018-421
4261	          $0.00	2018-1797
4286	          $3.51	2018-2301
4287	         $39.41	2018-1643
4304	          $0.00	2018-997
4308	          $0.00	2018-1828
4308	          $0.00	2018-1527
4320	         $29.66	2018-420
4324	          $0.00	2018-1898
4326	          $8.82	2018-1584
4343	         $37.58	2018-2559
4343	         $37.58	2018-2453
4343	         $37.58	2018-1675
4343	         $37.58	2018-512
4348	         $37.54	2018-313
4365	         $76.08	2018-2490
4365	         $76.08	2018-2153
4372	         $10.17	2018-2323
4383	          $0.00	2018-1344
4383	          $0.00	2018-1044
4383	          $0.00	2018-810
4388	          $0.00	2018-2620
4388	          $0.00	2018-2615
4388	          $0.00	2018-11
4399	          $0.00	2018-1728
4403	         $23.34	2018-2610
4403	         $23.34	2018-1485
4403	         $23.34	2018-1409
4429	          $5.38	2018-2043
4450	      $1,173.58	2018-987
4450	      $1,173.58	2018-491
4451	         $23.90	2018-609
4460	         $18.87	2018-2369
4460	         $18.87	2018-953
4471	          $0.00	2018-1393
4503	      $1,068.70	2018-1222
4503	      $1,068.70	2018-88
4538	        $147.40	2018-2536
4538	        $147.40	2018-943
4540	          $3.08	2018-2408
4541	         $11.52	2018-2102
4541	         $11.52	2018-2032
4558	          $0.00	2018-321
4569	        $228.98	2018-1176
4571	          $0.00	2018-102
4574	          $0.00	2018-254
4576	          $0.00	2018-860
4581	          $0.00	2018-2345
4604	          $6.25	2018-1983
4615	         $17.63	2018-2521
4615	         $17.63	2018-1915
4626	          $0.00	2018-2516
4626	          $0.00	2018-2311
4626	          $0.00	2018-1102
4641	         $15.78	2018-2519
4648	         $-3.54	2018-410
4650	         $64.35	2018-1379
4650	         $64.35	2018-687
4655	          $0.00	2018-1394
4655	          $0.00	2018-1257
4671	         $25.44	2018-1921
4671	         $25.44	2018-1674
4671	         $25.44	2018-1582
4677	         $64.57	2018-2253
4677	         $64.57	2018-440
4677	         $64.57	2018-343
4689	         $23.96	2018-606
4730	          $0.00	2018-256
4734	        $394.19	2018-1351
4734	        $394.19	2018-795
4752	          $0.80	2018-2227
4761	         $20.24	2018-681
4774	          $0.00	2018-240
4778	          $0.00	2018-2571
4778	          $0.00	2018-1867
4778	          $0.00	2018-1338
4780	         $46.23	2018-557
4787	        $206.89	2018-1842
4787	        $206.89	2018-376
4787	        $206.89	2018-101
4787	        $206.89	2018-25
4832	         $80.26	2018-2613
4832	         $80.26	2018-335
4832	         $80.26	2018-245
4845	        $141.66	2018-2025
4845	        $141.66	2018-920
4845	        $141.66	2018-604
4852	          $0.00	2018-558
4852	          $0.00	2018-291
4852	          $0.00	2018-220
4854	        $239.39	2018-496
4866	        $573.81	2018-382
4884	         $71.04	2018-361
4925	         $47.82	2018-2066
4925	         $47.82	2018-1606
4925	         $47.82	2018-1318
4925	         $47.82	2018-584
4928	          $0.00	2018-455
4956	          $0.00	2018-834
4956	          $0.00	2018-528
4979	         $43.85	2018-1372
4979	         $43.85	2018-350
4989	         $17.95	2018-1737
4989	         $17.95	2018-1407
4990	          $0.00	2018-242
5003	        $288.35	2018-1215
5003	        $288.35	2018-686
5012	          $0.00	2018-552
5023	         $11.50	2018-2626
5023	         $11.50	2018-2518
5023	         $11.50	2018-1707
5027	          $0.00	2018-2035
5027	          $0.00	2018-1926
5027	          $0.00	2018-980
5030	          $0.00	2018-1941
5041	        $123.13	5041-2018
5047	          $0.00	2018-1431
5056	        $223.51	2018-598
5058	          $0.00	2018-401
5081	          $0.00	2018-1557
5081	          $0.00	2018-1446
5090	          $0.00	2018-362
5092	         $29.33	2018-468
5099	          $0.00	2018-481
5107	          $0.73	2018-2639
5108	         $67.07	2018-2333
5108	         $67.07	2018-1713
5108	         $67.07	2018-1560
5144	          $0.00	2018-831
5146	          $0.00	2018-1094
5148	          $0.00	2018-2261
5148	          $0.00	2018-1783
5148	          $0.00	2018-1567
5153	         $24.88	2018-574
5166	         $14.76	2018-1862
5166	         $14.76	2018-1685
5170	          $0.00	2018-2109
5186	        $240.12	2018-932
5186	        $240.12	2018-909
5189	         $29.11	2018-2589
5189	         $29.11	2018-1605
5189	         $29.11	2018-749
5192	          $0.00	2018-835
5199	         $21.25	2018-730
5204	         $15.98	2018-1068
5205	        $261.68	2018-2315
5205	        $261.68	2018-1923
